name,subcategory,price,originalPrice,rating,stockStatus,badge
boAt Rockerz 450 Wireless Headphone,Audio,1199,2999,4.1,In Stock,Best Seller
boAt Rockerz 450 Pro Wireless Headphone,Audio,1799,2999,4.2,In Stock,New
boAt Airdopes 141 TWS Earbuds,Audio,1099,3490,4.0,In Stock,Best Seller
boAt Airdopes 311 Pro TWS Earbuds,Audio,1299,3990,4.1,In Stock,
Noise ColorFit Pro 4 Smartwatch,Wearables,1799,4999,4.0,In Stock,Best Seller
Noise ColorFit Icon 2 Smartwatch,Wearables,1299,3999,3.9,In Stock,New
Fire-Boltt Phoenix Smartwatch,Wearables,1399,7999,4.1,In Stock,Best Seller
JBL Tune 510BT Wireless Headphones,Audio,1799,3499,4.3,In Stock,Best Seller
JBL C100SI Wired Earphones,Audio,399,799,4.2,In Stock,Best Seller
Sony WH-CH520 Wireless Headphones,Audio,3490,4990,4.3,In Stock,
Sony WF-C500 True Wireless Earbuds,Audio,3990,6990,4.0,In Stock,
Realme Buds Air 5,Audio,2999,4999,4.2,In Stock,New
OnePlus Nord Buds 2,Audio,1799,2999,4.1,In Stock,Best Seller
OnePlus Bullets Wireless Z2,Audio,1799,2999,4.2,In Stock,
Redmi Buds 5,Audio,1999,3499,4.0,In Stock,
Zebronics Zeb-Thunder Bluetooth Speaker,Audio,999,1999,4.0,In Stock,
JBL Go 3 Portable Bluetooth Speaker,Audio,2199,3299,4.4,In Stock,Best Seller
boAt Stone 620 Bluetooth Speaker,Audio,1499,2990,4.1,In Stock,
Marshall Emberton II Portable Speaker,Audio,12999,14999,4.5,In Stock,
Samsung Galaxy M15 5G,Mobiles,10999,15999,4.1,In Stock,Best Seller
Redmi 13C 5G,Mobiles,9999,13999,4.0,In Stock,Best Seller
Realme Narzo 70,Mobiles,13999,17999,4.1,In Stock,New
Motorola Moto G34 5G,Mobiles,9499,12999,4.0,In Stock,
POCO M6 Plus 5G,Mobiles,10499,14999,4.1,In Stock,Best Seller
iQOO Z9 Lite 5G,Mobiles,9999,13999,4.0,In Stock,New
Vivo Y18,Mobiles,8999,11999,3.9,In Stock,
Apple iPhone 15,Mobiles,62999,79900,4.6,In Stock,Best Seller
Samsung Galaxy S24 FE,Mobiles,49999,59999,4.4,In Stock,New
OnePlus 12R,Mobiles,39999,45999,4.5,In Stock,Best Seller
HP 15s Laptop (i5, 8GB, 512GB SSD),Laptops,42999,6000,10000+
Lenovo IdeaPad Slim 3 (Ryzen 5),Laptops,38999,49999,4.1,In Stock,
Dell Inspiron 15 (i3, 8GB, 512GB SSD),Laptops,36999,3000,6000+
ASUS Vivobook 15 (i5, 16GB, 512GB SSD),Laptops,49999,3500,7000+
Acer Aspire Lite (i3, 8GB, 256GB SSD),Laptops,28999,5000,9000+
MacBook Air M2 (8GB, 256GB),Laptops,89900,99900,6000+,In Stock
Apple iPad 9th Gen (64GB, WiFi),Tablets,26900,32900,15000+,In Stock
Samsung Galaxy Tab A9,Tablets,11999,14999,4.1,In Stock,New
Lenovo Tab M10,Tablets,10999,14999,4.0,In Stock,
Logitech M235 Wireless Mouse,Accessories,599,999,4.4,In Stock,Best Seller
Logitech MK270 Wireless Keyboard & Mouse Combo,Accessories,1699,2295,4.3,In Stock,
HP Wireless Mouse Z3700,Accessories,699,1199,4.2,In Stock,
Dell Wired USB Keyboard,Accessories,499,699,4.1,In Stock,
Ant Esports MK1200 Mechanical Keyboard,Accessories,1499,2299,4.3,In Stock,New
Redgear Pro Wireless Gaming Mouse,Accessories,899,1499,4.2,In Stock,
SanDisk Ultra 64GB USB 3.0 Pen Drive,Storage,449,799,4.5,In Stock,Best Seller
SanDisk 128GB microSD Card (Class 10),Storage,899,1499,4.4,In Stock,
Seagate 1TB External Hard Drive,Storage,3999,5499,4.5,In Stock,Best Seller
WD Elements 2TB External Hard Drive,Storage,5999,7999,4.4,In Stock,
Samsung 980 500GB NVMe SSD,Storage,3299,4999,4.6,In Stock,New
Crucial MX500 500GB SATA SSD,Storage,3499,4999,4.5,In Stock,
Mi Power Bank 3i 20000mAh,Accessories,1499,2299,4.3,In Stock,Best Seller
boAt 20000mAh Power Bank,Accessories,1799,2999,4.2,In Stock,
Ambrane 10000mAh Power Bank,Accessories,899,1499,4.1,In Stock,New
Mi 33W Fast Charger,Accessories,799,1299,4.3,In Stock,
boAt Deuce USB Type-C Cable,Accessories,299,599,4.2,In Stock,Best Seller
Portronics Konnect 65W GaN Charger,Accessories,1199,1999,4.2,In Stock,
Amazon Basics HDMI Cable 1.5m,Accessories,349,599,4.3,In Stock,
TP-Link Archer C6 AC1200 WiFi Router,Networking,1799,2999,4.4,In Stock,Best Seller
D-Link DIR-615 Wireless Router,Networking,1099,1699,4.1,In Stock,
Netgear Nighthawk AC1900 Router,Networking,4999,6999,4.5,In Stock,New
Mi Smart WiFi Router 4C,Networking,999,1499,4.2,In Stock,
Canon EOS 1500D DSLR Camera,Cameras,32999,39999,4.5,In Stock,Best Seller
Nikon D3500 DSLR Camera,Cameras,34999,42999,4.5,In Stock,
GoPro Hero 11 Action Camera,Cameras,28999,34999,4.4,In Stock,New
DJI Mini 3 Drone with Camera,Cameras,44999,52999,4.6,In Stock,Best Seller
Instax Mini 12 Instant Camera,Cameras,6499,7999,4.5,In Stock,
Samsung 55-inch Crystal 4K Smart TV,TVs,38999,54999,4.4,In Stock,Best Seller
LG 43-inch Full HD Smart TV,TVs,24999,34999,4.3,In Stock,
Mi 5X 55-inch 4K Google TV,TVs,32999,45999,4.2,In Stock,Best Seller
Sony Bravia 50-inch 4K Google TV,TVs,44999,59999,4.5,In Stock,New
TCL 32-inch HD Smart TV,TVs,10999,15999,4.0,In Stock,
Amazon Fire TV Stick 4K,Streaming,4999,6499,4.4,In Stock,Best Seller
Google Chromecast with Google TV,Streaming,5499,6999,4.3,In Stock,
Amazon Echo Dot 5th Gen,Smart Home,3499,5499,4.4,In Stock,Best Seller
Mi Smart Speaker,Smart Home,2699,3999,4.1,In Stock,
Wipro Smart WiFi Bulb,Smart Home,499,899,4.2,In Stock,New
Philips Hue White Smart Bulb,Smart Home,899,1299,4.3,In Stock,
Casio FX-991EX Scientific Calculator,Electronics,899,1099,4.6,In Stock,Best Seller
Havells Digital Kitchen Weighing Scale,Electronics,699,999,4.2,In Stock,
Philips Trimmer QT4011,Personal Care Electronics,999,1495,4.3,In Stock,Best Seller
Mi Beard Trimmer 1C,Personal Care Electronics,699,999,4.2,In Stock,
Havells Hair Dryer HD3151,Personal Care Electronics,599,899,4.1,In Stock,New
Panasonic ES-WD53 Shaver,Personal Care Electronics,1899,2895,4.4,In Stock,
Casio Digital Watch F-91W,Wearables,1095,1495,4.5,In Stock,Best Seller
Fastrack Reflex Play Smartwatch,Wearables,1899,3495,4.0,In Stock,
Samsung Galaxy Buds FE,Audio,4999,6999,4.2,In Stock,New
Apple AirPods (2nd Gen),Audio,10999,12900,4.5,In Stock,Best Seller
JBL Quantum 100 Gaming Headset,Gaming,1499,2499,4.3,In Stock,
Redgear Cloak Wired Gaming Headset,Gaming,1299,1999,4.1,In Stock,New
Logitech G102 Gaming Mouse,Gaming,1299,1995,4.4,In Stock,Best Seller
Sony DualShock 4 Controller,Gaming,3999,4999,4.5,In Stock,
Microsoft Xbox Wireless Controller,Gaming,4999,5999,4.5,In Stock,New
Sony PlayStation 5 (Slim),Gaming,49990,54990,4.7,In Stock,Best Seller
Nintendo Switch OLED,Gaming,29999,34999,4.6,In Stock,
boAt Immortal 141 Gaming Neckband,Gaming,999,1990,4.1,In Stock,
Dell 24-inch Full HD Monitor,Monitors,8999,11999,4.3,In Stock,Best Seller
Samsung 27-inch Curved Monitor,Monitors,15999,19999,4.4,In Stock,New
LG 22-inch Full HD Monitor,Monitors,7499,9999,4.2,In Stock,
HP LaserJet M126nw Printer,Printers,12999,15999,4.1,In Stock,
Canon PIXMA E477 All-in-One Printer,Printers,5999,7999,4.0,In Stock,New
Epson L3250 Ink Tank Printer,Printers,14999,17999,4.3,In Stock,Best Seller
APC 600VA UPS,Electronics,2799,3699,4.2,In Stock,
Luminous 850VA Inverter,Electronics,4999,6499,4.1,In Stock,
